cluster_id,n_member_rows,centroid_x_m,centroid_y_m,max_distance_from_seed_m,cell_ix,cell_iy,grid_id,period_label
0,24,483989.6187316107,459356.0671064654,2.5111312596294857,4839,4593,4839_4593,period2
1,24,483993.389426589,459404.3296803722,1.7115415527143947,4839,4594,4839_4594,period2
2,24,484025.85048036434,459367.43439369556,2.108039327183121,4840,4593,4840_4593,period2
3,24,484130.40233437065,459365.1962868309,1.4864385446598671,4841,4593,4841_4593,period2
4,24,484134.48775945656,459413.1407191076,1.3696378183914601,4841,4594,4841_4594,period2
5,24,484166.8011754253,459376.2853196962,1.577606750698204,4841,4593,4841_4593,period2
6,24,484271.43315383093,459374.04077291186,1.6827591034756177,4842,4593,4842_4593,period2
7,24,484275.25453235215,459422.32745201647,1.647738160724901,4842,4594,4842_4594,period2
8,24,484307.7527234587,459385.05386063596,1.7681044596193172,4843,4593,4843_4593,period2
9,24,484412.4755305013,459383.12246708135,1.6916981993964595,4844,4593,4844_4593,period2
10,24,484416.4347140124,459431.4488349494,2.1587659430685546,4844,4594,4844_4594,period2
11,24,484448.8663256114,459394.2895676905,2.389439399304493,4844,4593,4844_4593,period2
12,6,483977.7100166129,459539.335321584,0.992113546088966,4839,4595,4839_4595,period2
13,6,483981.85325275664,459587.9577850112,1.177244699053139,4839,4595,4839_4595,period2
14,6,484014.01963846176,459550.5379775265,0.9750664568199864,4840,4595,4840_4595,period2
15,6,484118.66783629986,459548.4652295541,1.2104606713316097,4841,4595,4841_4595,period2
16,6,484122.5972248263,459596.5703380749,1.026652585497098,4841,4595,4841_4595,period2
17,6,484154.9348743287,459559.43715301546,1.0326077913344998,4841,4595,4841_4595,period2
18,6,484259.88336408697,459557.50450908876,0.7954504426187742,4842,4595,4842_4595,period2
19,6,484263.6767531356,459605.44123047596,1.092223792623341,4842,4596,4842_4596,period2
20,6,484296.03193778923,459568.5160630276,1.5381256523781888,4842,4595,4842_4595,period2
21,6,484400.4274846559,459566.2897250771,0.8656533143304754,4844,4595,4844_4595,period2
22,6,484404.92780059605,459615.0565016426,1.715546232760982,4844,4596,4844_4596,period2
23,6,484436.9550868591,459577.16439872776,1.507922165929679,4844,4595,4844_4595,period2
24,24,483966.1295195921,459722.7146844174,1.5656115093365504,4839,4597,4839_4597,period2
25,24,484107.0314970591,459731.80879883305,1.9752172172735303,4841,4597,4841_4597,period2
26,24,484248.383844279,459740.63351489743,1.4876861563708983,4842,4597,4842_4597,period2
27,24,484389.0430940187,459749.9531003334,1.6157628958799406,4843,4597,4843_4597,period2
28,3,483954.7841850571,459905.8533938939,0.8640333610853147,4839,4599,4839_4599,period2
29,3,484095.39691181,459915.01769277407,1.4148798328167729,4840,4599,4840_4599,period2
30,3,484236.2259298006,459924.15751044935,1.7141400552416082,4842,4599,4842_4599,period2
31,3,484377.7092379586,459933.53512225393,2.1480956267582876,4843,4599,4843_4599,period2
