grid_id,cell_ix,cell_iy,x_center_m,y_center_m,lon_center,lat_center,n_observation_points,n_observation_days,n_devices_observed,n_points_excluded_abnormal_segments,valid_distance_m,valid_distance_km,n_detection_rows_raw,sum_totalTrashCount_raw,is_effective_coverage,period_label,period_start,period_end
4839_4593,4839,4593,483950.0,459350.0,139.9995547342829,39.999988064906226,144,8,3,24,18815.699107992106,18.815699107992106,24,43.0,True,period2,2001-02-01,2001-03-01
4839_4594,4839,4594,483950.0,459450.0,139.9996290638461,40.000884363644474,72,8,3,24,487.65967497682374,0.4876596749768237,24,45.0,True,period2,2001-02-01,2001-03-01
4839_4595,4839,4595,483950.0,459550.0,139.99970339673882,40.001780662128596,180,8,3,36,1465.067002388051,1.465067002388051,12,25.0,True,period2,2001-02-01,2001-03-01
4839_4597,4839,4597,483950.0,459750.0,139.99985207251333,40.00357325833436,192,8,3,48,1463.7553476942348,1.4637553476942349,24,45.0,True,period2,2001-02-01,2001-03-01
4839_4599,4839,4599,483950.0,459950.0,140.0000007616078,40.00536585352347,171,8,3,27,1464.8761655627036,1.4648761655627036,3,7.0,True,period2,2001-02-01,2001-03-01
4840_4593,4840,4593,484050.0,459350.0,140.0007201583431,39.99993089541065,24,8,3,24,0.0,0.0,24,54.0,True,period2,2001-02-01,2001-03-01
4840_4595,4840,4595,484050.0,459550.0,140.0008688509759,40.00172348902411,6,2,3,6,0.0,0.0,6,12.0,False,period2,2001-02-01,2001-03-01
4840_4599,4840,4599,484050.0,459950.0,140.00116627620667,40.00530867320058,147,8,3,27,1219.6431568926582,1.2196431568926582,3,6.0,True,period2,2001-02-01,2001-03-01
4841_4593,4841,4593,484150.0,459350.0,140.00188557907336,39.99987371426327,144,8,3,72,732.2815225216937,0.7322815225216937,48,95.0,True,period2,2001-02-01,2001-03-01
4841_4594,4841,4594,484150.0,459450.0,140.00195993881263,40.000770009392284,96,8,3,24,732.9615859411094,0.7329615859411094,24,48.0,True,period2,2001-02-01,2001-03-01
4841_4595,4841,4595,484150.0,459550.0,140.0020343018827,40.00166630426708,162,8,3,42,1219.8248915653903,1.2198248915653904,18,35.0,True,period2,2001-02-01,2001-03-01
4841_4596,4841,4596,484150.0,459650.0,140.0021086682838,40.002562598887614,24,8,3,0,243.12862550898316,0.24312862550898318,0,0.0,True,period2,2001-02-01,2001-03-01
4841_4597,4841,4597,484150.0,459750.0,140.002183038016,40.003458893253914,192,8,3,48,1464.3933097136683,1.4643933097136683,24,47.0,True,period2,2001-02-01,2001-03-01
4841_4599,4841,4599,484150.0,459950.0,140.00233178747456,40.005251481223695,24,8,3,0,244.0875321438624,0.24408753214386242,0,0.0,True,period2,2001-02-01,2001-03-01
4842_4593,4842,4593,484250.0,459350.0,140.00305099647295,39.99981652146418,96,8,3,48,487.89092220351415,0.48789092220351415,24,50.0,True,period2,2001-02-01,2001-03-01
4842_4594,4842,4594,484250.0,459450.0,140.00312537129997,40.000712814788024,120,8,3,24,976.0324844685576,0.9760324844685576,24,42.0,True,period2,2001-02-01,2001-03-01
4842_4595,4842,4595,484250.0,459550.0,140.0031997494585,40.00160910785761,132,8,3,36,975.9546315219153,0.9759546315219153,12,23.0,True,period2,2001-02-01,2001-03-01
4842_4596,4842,4596,484250.0,459650.0,140.00327413094868,40.00250540067289,54,8,3,6,488.85568891148694,0.48885568891148695,6,11.0,True,period2,2001-02-01,2001-03-01
4842_4597,4842,4597,484250.0,459750.0,140.00334851577068,40.00340169323387,192,8,3,48,1465.3138707410874,1.4653138707410873,24,44.0,True,period2,2001-02-01,2001-03-01
4842_4599,4842,4599,484250.0,459950.0,140.0034972954108,40.00519427759292,171,8,3,27,1464.2014275708004,1.4642014275708004,3,4.0,True,period2,2001-02-01,2001-03-01
4843_4593,4843,4593,484350.0,459350.0,140.0042164105412,39.99975931701347,24,8,3,24,0.0,0.0,24,63.0,True,period2,2001-02-01,2001-03-01
4843_4595,4843,4595,484350.0,459550.0,140.00436519370265,40.001551899795786,24,8,3,24,0.0,0.0,0,0.0,True,period2,2001-02-01,2001-03-01
4843_4597,4843,4597,484350.0,459750.0,140.00451399019337,40.003344481560774,168,8,3,48,1219.246013761708,1.2192460137617078,24,51.0,True,period2,2001-02-01,2001-03-01
4843_4598,4843,4598,484350.0,459850.0,140.00458839343764,40.00424077206173,24,8,3,0,245.19559163687725,0.24519559163687726,0,0.0,True,period2,2001-02-01,2001-03-01
4843_4599,4843,4599,484350.0,459950.0,140.00466280001473,40.00513706230833,171,8,3,27,1464.1533113789085,1.4641533113789085,3,5.0,True,period2,2001-02-01,2001-03-01
4844_4593,4844,4593,484450.0,459350.0,140.0053818212775,39.999702100911236,96,8,3,72,243.77696641577353,0.24377696641577354,48,95.0,True,period2,2001-02-01,2001-03-01
4844_4594,4844,4594,484450.0,459450.0,140.00545622627956,40.00059839062367,144,8,3,24,1221.6096129234222,1.2216096129234222,24,39.0,True,period2,2001-02-01,2001-03-01
4844_4595,4844,4595,484450.0,459550.0,140.00553063461447,40.00149468008173,84,8,3,12,733.5059422407242,0.7335059422407242,12,24.0,True,period2,2001-02-01,2001-03-01
4844_4596,4844,4596,484450.0,459650.0,140.00560504628237,40.00239096928539,78,8,3,6,731.6031662431907,0.7316031662431907,6,13.0,True,period2,2001-02-01,2001-03-01
