grid_id,cell_ix,cell_iy,x_center_m,y_center_m,lon_center,lat_center,n_observation_points,n_observation_days,n_devices_observed,n_points_excluded_abnormal_segments,valid_distance_m,valid_distance_km,n_detection_rows_raw,sum_totalTrashCount_raw,is_effective_coverage,period_label,period_start,period_end
4838_4589,4838,4589,483850.0,458950.0,139.9980920822784,39.99646001803976,12,3,1,6,60.99736778366406,0.06099736778366406,3,3.0,False,period1,2001-01-01,2001-01-31
4838_4590,4838,4590,483850.0,459050.0,139.99816638343972,39.99735631959839,12,3,1,0,121.99473210121324,0.12199473210121324,0,0.0,False,period1,2001-01-01,2001-01-31
4838_4591,4838,4591,483850.0,459150.0,139.99824068792924,39.99825262090296,15,3,1,6,91.4960013085084,0.09149600130850839,3,3.0,False,period1,2001-01-01,2001-01-31
4838_4592,4838,4592,483850.0,459250.0,139.99831499574702,39.999148921953456,9,3,1,0,91.49599871644082,0.09149599871644082,0,0.0,False,period1,2001-01-01,2001-01-31
4839_4593,4839,4593,483950.0,459350.0,139.9995547342829,39.999988064906226,144,8,3,27,15509.866434377069,15.509866434377068,24,47.0,True,period1,2001-01-01,2001-01-31
4839_4594,4839,4594,483950.0,459450.0,139.9996290638461,40.000884363644474,72,8,3,24,487.8514058279926,0.48785140582799263,24,52.0,True,period1,2001-01-01,2001-01-31
4839_4595,4839,4595,483950.0,459550.0,139.99970339673882,40.001780662128596,180,8,3,36,1463.9887838092934,1.4639887838092933,12,27.0,True,period1,2001-01-01,2001-01-31
4839_4597,4839,4597,483950.0,459750.0,139.99985207251333,40.00357325833436,192,8,3,48,1464.0802481609333,1.4640802481609332,24,47.0,True,period1,2001-01-01,2001-01-31
4839_4599,4839,4599,483950.0,459950.0,140.0000007616078,40.00536585352347,171,8,3,27,1464.3974061309182,1.4643974061309182,3,6.0,True,period1,2001-01-01,2001-01-31
4840_4593,4840,4593,484050.0,459350.0,140.0007201583431,39.99993089541065,24,8,3,24,0.0,0.0,24,54.0,True,period1,2001-01-01,2001-01-31
4840_4595,4840,4595,484050.0,459550.0,140.0008688509759,40.00172348902411,6,2,3,6,0.0,0.0,6,10.0,False,period1,2001-01-01,2001-01-31
4840_4599,4840,4599,484050.0,459950.0,140.00116627620667,40.00530867320058,147,8,3,27,1220.2276624271967,1.2202276624271968,3,5.0,True,period1,2001-01-01,2001-01-31
4841_4593,4841,4593,484150.0,459350.0,140.00188557907336,39.99987371426327,144,8,3,72,731.0610331286426,0.7310610331286427,48,100.0,True,period1,2001-01-01,2001-01-31
4841_4594,4841,4594,484150.0,459450.0,140.00195993881263,40.000770009392284,96,8,3,24,733.1969745624097,0.7331969745624096,24,54.0,True,period1,2001-01-01,2001-01-31
4841_4595,4841,4595,484150.0,459550.0,140.0020343018827,40.00166630426708,162,8,3,42,1220.5609747844135,1.2205609747844135,18,38.0,True,period1,2001-01-01,2001-01-31
4841_4596,4841,4596,484150.0,459650.0,140.0021086682838,40.002562598887614,24,8,3,0,244.0402421293395,0.2440402421293395,0,0.0,True,period1,2001-01-01,2001-01-31
4841_4597,4841,4597,484150.0,459750.0,140.002183038016,40.003458893253914,192,8,3,48,1463.7641916104656,1.4637641916104656,24,52.0,True,period1,2001-01-01,2001-01-31
4841_4599,4841,4599,484150.0,459950.0,140.00233178747456,40.005251481223695,24,8,3,0,243.18679926627516,0.24318679926627515,0,0.0,True,period1,2001-01-01,2001-01-31
4842_4593,4842,4593,484250.0,459350.0,140.00305099647295,39.99981652146418,96,8,3,48,488.14399541360984,0.48814399541360987,24,50.0,True,period1,2001-01-01,2001-01-31
4842_4594,4842,4594,484250.0,459450.0,140.00312537129997,40.000712814788024,120,8,3,24,975.4156187054202,0.9754156187054203,24,50.0,True,period1,2001-01-01,2001-01-31
4842_4595,4842,4595,484250.0,459550.0,140.0031997494585,40.00160910785761,132,8,3,36,976.5065086589586,0.9765065086589586,12,23.0,True,period1,2001-01-01,2001-01-31
4842_4596,4842,4596,484250.0,459650.0,140.00327413094868,40.00250540067289,54,8,3,6,487.05058853933673,0.48705058853933675,6,11.0,True,period1,2001-01-01,2001-01-31
4842_4597,4842,4597,484250.0,459750.0,140.00334851577068,40.00340169323387,192,8,3,48,1464.4160460368448,1.4644160460368447,24,45.0,True,period1,2001-01-01,2001-01-31
4842_4599,4842,4599,484250.0,459950.0,140.0034972954108,40.00519427759292,171,8,3,27,1464.6442544245824,1.4646442544245823,3,5.0,True,period1,2001-01-01,2001-01-31
4843_4593,4843,4593,484350.0,459350.0,140.0042164105412,39.99975931701347,24,8,3,24,0.0,0.0,24,45.0,True,period1,2001-01-01,2001-01-31
4843_4595,4843,4595,484350.0,459550.0,140.00436519370265,40.001551899795786,24,8,3,24,0.0,0.0,0,0.0,True,period1,2001-01-01,2001-01-31
4843_4597,4843,4597,484350.0,459750.0,140.00451399019337,40.003344481560774,168,8,3,48,1220.2546326959177,1.2202546326959178,24,50.0,True,period1,2001-01-01,2001-01-31
4843_4598,4843,4598,484350.0,459850.0,140.00458839343764,40.00424077206173,24,8,3,0,243.15636586924535,0.24315636586924536,0,0.0,True,period1,2001-01-01,2001-01-31
4843_4599,4843,4599,484350.0,459950.0,140.00466280001473,40.00513706230833,171,8,3,27,1464.4193994442176,1.4644193994442176,3,6.0,True,period1,2001-01-01,2001-01-31
4844_4593,4844,4593,484450.0,459350.0,140.0053818212775,39.999702100911236,96,8,3,72,244.21092676006907,0.24421092676006906,48,92.0,True,period1,2001-01-01,2001-01-31
4844_4594,4844,4594,484450.0,459450.0,140.00545622627956,40.00059839062367,144,8,3,24,1219.6466660624487,1.2196466660624488,24,47.0,True,period1,2001-01-01,2001-01-31
4844_4595,4844,4595,484450.0,459550.0,140.00553063461447,40.00149468008173,84,8,3,12,731.3069523392202,0.7313069523392202,12,20.0,True,period1,2001-01-01,2001-01-31
4844_4596,4844,4596,484450.0,459650.0,140.00560504628237,40.00239096928539,78,8,3,6,730.7204980321903,0.7307204980321903,6,10.0,True,period1,2001-01-01,2001-01-31
